id,labels,parents,values
MONC.MI|Consumer Cyclical|Luxury Goods|BIT,MONC.MI,Consumer Cyclical|Luxury Goods|BIT,2.681389
NVDA|Information Technology|Semiconductors|NASDAQ,NVDA,Information Technology|Semiconductors|NASDAQ,-2.4000027
AAPL|Technology|Consumer Electronics|NASDAQ,AAPL,Technology|Consumer Electronics|NASDAQ,1.7587817
UCG.MI|Financial Services|Banks|BIT,UCG.MI,Financial Services|Banks|BIT,1.6730232
EQNR|Energy|Oil and Gas|OSLO,EQNR,Energy|Oil and Gas|OSLO,-0.669077
AMZN|Consumer Discretionary|E-Commerce and Cloud|NASDAQ,AMZN,Consumer Discretionary|E-Commerce and Cloud|NASDAQ,-1.9885501
SATS|Communication Services|Space and Satellite Technology|NASDAQ,SATS,Communication Services|Space and Satellite Technology|NASDAQ,0.0
FBK.MI|Financials|Banks|BIT,FBK.MI,Financials|Banks|BIT,0.08576526
BPE.MI|Financials|Banking|BIT,BPE.MI,Financials|Banking|BIT,-0.07244443
SNDK|Technology|Semiconductors|NASDAQ,SNDK,Technology|Semiconductors|NASDAQ,-12.626629
CBK.DE|Financials|Banks|XETRA,CBK.DE,Financials|Banks|XETRA,0.0
PL|Technology|Space and Satellite Technology|NYSE,PL,Technology|Space and Satellite Technology|NYSE,-11.2851
FTNT|Information Technology|Software|NASDAQ,FTNT,Information Technology|Software|NASDAQ,-2.2673368
OXY|Energy|Oil and Gas Exploration and Production|NYSE,OXY,Energy|Oil and Gas Exploration and Production|NYSE,-0.223171
DHER.DE|Consumer Cyclical|Restaurants|XETRA,DHER.DE,Consumer Cyclical|Restaurants|XETRA,0.05238465
CL|Consumer Defensive|Household and Personal Products|NYSE,CL,Consumer Defensive|Household and Personal Products|NYSE,2.84246
CABK.MC|Financial Services|Banks-Diversified|BME,CABK.MC,Financial Services|Banks-Diversified|BME,1.0940051
COHR|Information Technology|Electronic Equipment Instruments and Components|NYSE,COHR,Information Technology|Electronic Equipment Instruments and Components|NYSE,-7.48881
EWZ|ETF|Emerging Markets Equity|NYSE,EWZ,ETF|Emerging Markets Equity|NYSE,-1.53289
STMPA.PA|Technology|Semiconductors|EPA,STMPA.PA,Technology|Semiconductors|EPA,-4.9082866
CFR|Consumer Discretionary|Apparel Accessories and Luxury Goods|SIX,CFR,Consumer Discretionary|Apparel Accessories and Luxury Goods|SIX,3.12165
IONQ|Technology|Quantum-Computing|NYSE,IONQ,Technology|Quantum-Computing|NYSE,-6.42495
ALV|Financial Services|Insurance|XETRA,ALV,Financial Services|Insurance|XETRA,1.79997
CVX|Energy|Oil and Gas Integrated|NYSE,CVX,Energy|Oil and Gas Integrated|NYSE,1.24449
PFE|Healthcare|Pharmaceuticals|NYSE,PFE,Healthcare|Pharmaceuticals|NYSE,1.28928
KLAC|Technology|Semiconductors|NASDAQ,KLAC,Technology|Semiconductors|NASDAQ,-2.2850802
ASTS|Communication Services|Telecommunications|NASDAQ,ASTS,Communication Services|Telecommunications|NASDAQ,-17.041168
HFG.DE|Consumer Defensive|Food and Beverage|XETRA,HFG.DE,Consumer Defensive|Food and Beverage|XETRA,2.0756314
AU|Basic Materials|Gold Mining|NYSE,AU,Basic Materials|Gold Mining|NYSE,-3.5254
QBTS|Technology|Quantum-Computing|NYSE,QBTS,Technology|Quantum-Computing|NYSE,-7.38916
MRK|Healthcare|Pharmaceuticals|NYSE,MRK,Healthcare|Pharmaceuticals|NYSE,3.25216
ENEL.MI|Utilities|Electric Utilities|BIT,ENEL.MI,Utilities|Electric Utilities|BIT,-1.5741819
SLV|Financial|Commodities|NYSE,SLV,Financial|Commodities|NYSE,-3.48592
GOOGL|Communication Services|Internet and Media|NASDAQ,GOOGL,Communication Services|Internet and Media|NASDAQ,-4.43762
RCL|Consumer Cyclical|Travel and Leisure|NYSE,RCL,Consumer Cyclical|Travel and Leisure|NYSE,0.609234
TSLA|Automotive|Automotive|NASDAQ,TSLA,Automotive|Automotive|NASDAQ,-0.86193633
EWY|Financial|ETF|NYSE,EWY,Financial|ETF|NYSE,-4.82405
RKLB|Industrials|Aerospace and Defense|NASDAQ,RKLB,Industrials|Aerospace and Defense|NASDAQ,-11.614171
